;Monatliche Wetterdaten der Messstation Hohe Warte seit April 1872 | Monthly Data from the Weather Station Hohe Warte since April 1872;;;;;;;;;;;;;;;;;;;;;;;;;;;
REF_YEAR;NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_DATE;T;T_MAX;T_MIN;MEAN_T_MAX;MEAN_T_MIN;NUM_FROST;NUM_ICE;NUM_SUMMER;NUM_HEAT;P;P_MAX;P_MIN;SUN_H;NUM_CLEAR;NUM_CLOUD;REL_HUM;REL_HUM_MAX;REL_HUM_MIN;WIND_VEL;NUM_WIND_VEL60;WIND_VEL_MAX;PRECP_SUM;NUM_PRECP_01;STAT_NUM
1872;AT13;91900;91905;187204;11,9;26,2;2,2;18,1;7,5;0;0;3;0;988,3;1001,9;969,1;;4;6;64;;;7,2;;;20;10;5901
1872;AT13;91900;91905;187205;17;30,6;7,9;23,1;11,8;0;0;13;2;990,9;1003,2;981,2;;8;9;64;;;7,2;;;50;8;5901
1872;AT13;91900;91905;187206;17,2;28,3;10;22,6;12,9;0;0;7;0;990;999,7;981,3;;1;7;66;;;10,8;;;73;11;5901
1872;AT13;91900;91905;187207;20,2;34,4;10,5;25,7;14,9;0;0;15;5;990,9;999,5;982,3;;10;8;61;;;7,6;;;57;12;5901
1872;AT13;91900;91905;187208;17,6;30,2;8,4;22,5;13,4;0;0;8;1;990,6;997,9;979,1;;1;10;71;;;9,7;;;166;18;5901
1872;AT13;91900;91905;187209;16,2;28,7;3,3;21,8;11,2;0;0;11;0;991,3;1000,4;979,5;;10;7;71;;;9,7;;;31;6;5901
1872;AT13;91900;91905;187210;12,5;22,6;3;16,6;8,6;0;0;0;0;989,3;1002,3;976,9;;2;8;81;;;9,7;;;50;10;5901
1872;AT13;91900;91905;187211;6,1;15,2;-1,3;8,9;2,7;3;0;0;0;990;1005,2;965,2;;1;12;87;;;6,5;;;81;14;5901
1872;AT13;91900;91905;187212;3,5;16;-5;5,4;1,2;11;0;0;0;988,7;1003,3;967,7;;0;19;84;;;7,6;;;32;17;5901
1873;AT13;91900;91905;187301;1,2;12,4;-5,4;3,6;-1,1;23;6;0;0;993,5;1004,9;958,5;;2;22;87;;;7,2;;;20;13;5901
1873;AT13;91900;91905;187302;0,4;10,7;-6,8;2,6;-2;20;6;0;0;993,5;1015,3;973,5;;1;16;85;;;10,1;;;77;17;5901
1873;AT13;91900;91905;187303;7;16,8;-1,3;11,2;2,4;2;0;0;0;988,6;1000,5;971,2;;8;11;73;;;8,6;;;34;5;5901
1873;AT13;91900;91905;187304;9;22,3;-0,5;13,7;4,1;1;0;0;0;986,9;1000,5;973,5;;4;9;67;;;10,4;;;14;10;5901
1873;AT13;91900;91905;187305;11,5;22,4;3,1;15,8;7,1;0;0;0;0;988,1;999,1;976,4;;0;10;70;;;13;;;85;18;5901
1873;AT13;91900;91905;187306;17,5;29,4;6,2;22,3;12,4;0;0;13;0;990,6;1000,3;978,9;;7;3;68;;;10,1;;;61;16;5901
1873;AT13;91900;91905;187307;21,7;33,7;10,1;27,1;15,6;0;0;22;6;992,9;1001,7;984,3;;5;1;60;;;9,4;;;24;10;5901
1873;AT13;91900;91905;187308;21,3;35;10;27,5;15,2;0;0;21;10;993,3;1002,1;983,6;;16;1;61;;;6,5;;;52;7;5901
1873;AT13;91900;91905;187309;14,1;26,3;2;19,2;9,4;0;0;2;0;993,7;1005,1;982,8;;10;3;73;;;7,9;;;66;13;5901
1873;AT13;91900;91905;187310;12,2;25;1,3;16,2;8,1;0;0;1;0;991,2;1003,9;976,1;;5;5;80;;;7,6;;;27;12;5901
1873;AT13;91900;91905;187311;5,5;18,1;-5,3;7,9;2,7;8;0;0;0;990,5;1004,8;962,4;;4;9;78;;;10,8;;;27;14;5901
1873;AT13;91900;91905;187312;1,3;8,8;-10;4;-1,5;21;5;0;0;1001,3;1017,2;979,6;;9;8;73;;;12,2;;;18;8;5901
1874;AT13;91900;91905;187401;-0,8;12,7;-9,9;2;-4;27;12;0;0;998,9;1010,7;984,7;;1;9;83;;;10,8;;;17;10;5901
1874;AT13;91900;91905;187402;0,3;9;-10;3,4;-2,5;17;4;0;0;994,8;1010,3;977,9;;4;7;76;;;13,7;;;35;14;5901
1874;AT13;91900;91905;187403;4;20,4;-5,8;8,1;0,3;17;0;0;0;996,8;1013,2;977,7;;8;7;65;;;15,8;;;48;10;5901
1874;AT13;91900;91905;187404;11,6;24,5;-0,4;15,8;6,4;1;0;0;0;988;999,5;970,7;;5;10;64;;;9;;;49;12;5901
1874;AT13;91900;91905;187405;10,7;26,4;0,4;14,4;5,8;0;0;2;0;986,4;996,8;970,4;;4;7;66;;;12,2;;;112;20;5901
1874;AT13;91900;91905;187406;18,3;30,6;8;23,2;12,5;0;0;11;2;993,3;1001,3;979,2;;8;7;65;;;8,6;;;117;15;5901
1874;AT13;91900;91905;187407;22,3;33;12,3;27,4;15,9;0;0;25;5;992,3;999,5;981,3;;10;3;66;;;6,5;;;29;10;5901
1874;AT13;91900;91905;187408;17,9;32;7,2;22,2;13,1;0;0;8;1;991,7;999,9;982,5;;3;10;69;;;10,8;;;50;12;5901
1874;AT13;91900;91905;187409;17,4;29,7;5,6;23,4;11,4;0;0;12;0;995,2;1004,3;984,4;;16;2;70;;;6,5;;;37;7;5901
1874;AT13;91900;91905;187410;10,2;26;-1,5;15,1;5,9;2;0;2;0;995;1009,9;974,4;;14;3;78;;;7,6;;;14;7;5901
1874;AT13;91900;91905;187411;1,1;7,7;-6;2,9;-1,1;19;5;0;0;991,1;1009,2;968,7;;0;23;86;;;8,3;;;42;11;5901
1874;AT13;91900;91905;187412;-0,9;6,1;-9;0,8;-3,3;28;9;0;0;983,5;1002,1;968;;0;20;82;;;11,9;;;79;14;5901
1875;AT13;91900;91905;187501;-0,2;11,4;-11;2,5;-3,6;27;12;0;0;995,7;1010,5;967,3;;1;11;78;;;12,6;;;59;17;5901
1875;AT13;91900;91905;187502;-4,6;4,9;-15,5;-2,1;-7,2;26;22;0;0;992,5;1006,7;980,5;;4;9;79;;;11,2;;;35;12;5901
1875;AT13;91900;91905;187503;-0,1;9;-11,5;2,9;-3,2;25;7;0;0;995;1007,1;978,9;;6;11;77;;;9,4;;;72;12;5901
1875;AT13;91900;91905;187504;8,7;22,4;-3,5;13;3,3;2;0;0;0;991,4;1000,7;977,2;;6;6;60;;;7,9;;;28;9;5901
1875;AT13;91900;91905;187505;15,7;27,5;2,5;20,2;9,5;0;0;5;0;992,9;1004,1;979,7;;10;5;62;;;8,6;;;29;11;5901
1875;AT13;91900;91905;187506;20,5;33,4;9,2;25,5;14,9;0;0;16;2;990,6;996,9;984,3;;6;2;67;;;9;;;48;14;5901
1875;AT13;91900;91905;187507;19,7;30,7;9,7;24,3;14,6;0;0;10;1;990,1;1002,7;978,9;;5;2;66;;;9;;;65;13;5901
1875;AT13;91900;91905;187508;20,3;32,8;10,5;25,2;14,5;0;0;17;5;993,5;1002,7;979,6;;13;4;67;;;6,8;;;64;14;5901
1875;AT13;91900;91905;187509;14,3;24,7;-0,6;19,6;9;1;0;0;0;995,5;1006,1;981,9;;11;2;66;;;10,1;;;29;12;5901
1875;AT13;91900;91905;187510;7,7;18,1;0;10,8;4,4;0;0;0;0;988,6;1007,5;963,5;;4;17;81;;;8,3;;;91;18;5901
1875;AT13;91900;91905;187511;3,1;15,7;-6;5,5;0,4;13;2;0;0;987,1;1003,1;968,3;;1;15;78;;;10,8;;;59;16;5901
1875;AT13;91900;91905;187512;-2,3;10,6;-17,1;0,8;-4,8;25;13;0;0;994;1005,3;970,8;;2;18;82;;;13,7;;;72;21;5901
1876;AT13;91900;91905;187601;-4,9;5,4;-14,4;-2,8;-7,4;30;23;0;0;1002,7;1015,3;988,3;;3;19;87;;;7,9;;;25;14;5901
1876;AT13;91900;91905;187602;-0,4;13,2;-14,1;2,4;-3,8;17;14;0;0;989,2;1009,6;973,3;;1;14;85;;;10,1;;;131;23;5901
1876;AT13;91900;91905;187603;5,6;22,5;-3,5;9,5;1,8;9;0;0;0;981,7;992,8;964;;1;11;75;;;14;;;72;17;5901
1876;AT13;91900;91905;187604;12;26,4;0,8;16,8;6,6;0;0;2;0;989,2;1003,3;978,4;;6;10;69;;;9,7;;;37;10;5901
1876;AT13;91900;91905;187605;10,8;24;-1,1;14,7;6;2;0;0;0;991,8;1002,4;979,6;;2;10;64;;;10,4;;;57;9;5901
1876;AT13;91900;91905;187606;18,6;29;8,4;23,1;13,5;0;0;9;0;989,1;996,5;980,1;;5;4;66;;;10,4;;;58;9;5901
